Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3401045857157117671191151371,0.340104585715712,0.340104585715712,0.340104585715712,0.340104585715712,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,664211.8
0.02,0,0.3851692869211211522706760949,0.385169286921121,0.385169286921121,0.385169286921121,0.385169286921121,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,1328424
0.03,0,0.3936324351332935691684043812,0.393632435133294,0.393632435133294,0.393632435133294,0.393632435133294,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,1992636
0.04,0,0.3948635382823988307175543621,0.394863538282399,0.394863538282399,0.394863538282399,0.394863538282399,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,2656847
0.05,0,0.3939274977931543118451303278,0.393927497793154,0.393927497793154,0.393927497793154,0.393927497793154,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,3321059
0.06,0,0.3922469464488829500945097779,0.392246946448883,0.392246946448883,0.392246946448883,0.392246946448883,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,3985271
0.07,0,0.3903246189030575782952227237,0.390324618903058,0.390324618903058,0.390324618903058,0.390324618903058,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,4649483
0.08,0,0.3883610917682586587983933553,0.388361091768259,0.388361091768259,0.388361091768259,0.388361091768259,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,5313694
0.09,0,0.3864407396994369357695107654,0.386440739699437,0.386440739699437,0.386440739699437,0.386440739699437,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,5977907
0.10,0,0.3855158671518719006497941020,0.385515867151872,0.385515867151872,0.385515867151872,0.385515867151872,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,6642118
0.11,0,0.3854804074608055925760308637,0.385480407460806,0.385480407460806,0.385480407460806,0.385480407460806,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,7306330
0.12,0,0.3854449802424844631183114686,0.385444980242484,0.385444980242484,0.385444980242484,0.385444980242484,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,7970542
0.13,0,0.3854095855746898979350000021,0.38540958557469,0.38540958557469,0.38540958557469,0.38540958557469,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,8634754
0.14,0,0.3853742235333453435649160465,0.385374223533345,0.385374223533345,0.385374223533345,0.385374223533345,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,9298966
0.15,0,0.3853388941925494462087595153,0.385338894192549,0.385338894192549,0.385338894192549,0.385338894192549,0,0,0,0,9.831102575552577,79.69153276562243042789341245,79.69153276562243042789341245,9963178
